Series,Country,Rank,Year
"5.04 Quality of math and science education, 1-7 (best)",Albania,62,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Albania,113,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Albania,101,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Albania,124,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Albania,71,2008-2009
5th pillar: Higher education and training,Albania,97,2008-2009
"5.01 Secondary education enrollment, gross %*",Albania,84,2007-2008
"5.02 Tertiary education enrollment, gross %*",Albania,78,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Albania,89,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Albania,74,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Albania,115,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Albania,120,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Albania,126,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Albania,100,2007-2008
5th pillar: Higher education and training,Albania,103,2007-2008
"5.01 Secondary education enrollment, gross %*",Algeria,47,2017-2018
"5.02 Tertiary education enrollment, gross %*",Algeria,74,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Algeria,97,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Algeria,92,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Algeria,112,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Algeria,114,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Algeria,119,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Algeria,129,2017-2018
5th pillar: Higher education and training,Algeria,92,2017-2018
"5.01 Secondary education enrollment, gross %*",Algeria,46,2016-2017
"5.02 Tertiary education enrollment, gross %*",Algeria,78,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Algeria,85,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Algeria,99,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Algeria,127,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Algeria,124,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Algeria,120,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Algeria,131,2016-2017
5th pillar: Higher education and training,Algeria,96,2016-2017
"5.01 Secondary education enrollment, gross %*",Algeria,46,2015-2016
"5.02 Tertiary education enrollment, gross %*",Algeria,76,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Algeria,91,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Algeria,105,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Algeria,117,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Algeria,128,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Algeria,124,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Algeria,127,2015-2016
5th pillar: Higher education and training,Algeria,99,2015-2016
"5.01 Secondary education enrollment, gross %*",Algeria,46,2014-2015
"5.02 Tertiary education enrollment, gross %*",Algeria,78,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Algeria,114,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Algeria,113,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Algeria,115,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Algeria,133,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Algeria,126,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Algeria,118,2014-2015
5th pillar: Higher education and training,Algeria,98,2014-2015
"5.01 Secondary education enrollment, gross %*",Algeria,31,2013-2014
"5.02 Tertiary education enrollment, gross %*",Algeria,76,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Algeria,133,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Algeria,132,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Algeria,135,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Algeria,138,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Algeria,136,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Algeria,139,2013-2014
5th pillar: Higher education and training,Algeria,101,2013-2014
"5.01 Secondary education enrollment, gross %*",Algeria,52,2012-2013
"5.02 Tertiary education enrollment, gross %*",Algeria,74,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Algeria,131,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Algeria,129,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Algeria,131,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Algeria,132,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Algeria,138,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Algeria,142,2012-2013
5th pillar: Higher education and training,Algeria,108,2012-2013
"5.01 Secondary education enrollment, gross %*",Algeria,79,2011-2012
"5.02 Tertiary education enrollment, gross %*",Algeria,73,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Algeria,123,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Algeria,96,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Algeria,101,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Algeria,125,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Algeria,125,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Algeria,126,2011-2012
5th pillar: Higher education and training,Algeria,101,2011-2012
"5.01 Secondary education enrollment, gross %*",Algeria,80,2010-2011
"5.02 Tertiary education enrollment, gross %*",Algeria,87,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Algeria,117,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Algeria,84,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Algeria,91,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Algeria,125,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Algeria,105,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Algeria,103,2010-2011
5th pillar: Higher education and training,Algeria,98,2010-2011
"5.01 Secondary education enrollment, gross %*",Algeria,84,2009-2010
"5.02 Tertiary education enrollment, gross %*",Algeria,79,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Algeria,118,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Algeria,101,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Algeria,115,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Algeria,123,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Algeria,111,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Algeria,121,2009-2010
5th pillar: Higher education and training,Algeria,102,2009-2010
"5.01 Secondary education enrollment, gross %*",Algeria,78,2008-2009
"5.02 Tertiary education enrollment, gross %*",Algeria,80,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Algeria,122,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Algeria,99,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Algeria,117,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Algeria,113,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Algeria,111,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Algeria,128,2008-2009
5th pillar: Higher education and training,Algeria,102,2008-2009
"5.01 Secondary education enrollment, gross %*",Algeria,74,2007-2008
"5.02 Tertiary education enrollment, gross %*",Algeria,77,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Algeria,103,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Algeria,85,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Algeria,102,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Algeria,96,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Algeria,105,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Algeria,113,2007-2008
5th pillar: Higher education and training,Algeria,94,2007-2008
"5.01 Secondary education enrollment, gross %*",Angola,,2017-2018
"5.02 Tertiary education enrollment, gross %*",Angola,,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Angola,,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Angola,,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Angola,,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Angola,,2017-2018
5th pillar: Higher education and training,Angola,,2017-2018
"5.01 Secondary education enrollment, gross %*",Angola,,2016-2017
"5.02 Tertiary education enrollment, gross %*",Angola,,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Angola,,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Angola,,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Angola,,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Angola,,2016-2017
5th pillar: Higher education and training,Angola,,2016-2017
"5.01 Secondary education enrollment, gross %*",Angola,,2015-2016
"5.02 Tertiary education enrollment, gross %*",Angola,,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Angola,,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Angola,,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Angola,,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Angola,,2015-2016
5th pillar: Higher education and training,Angola,,2015-2016
"5.01 Secondary education enrollment, gross %*",Angola,135,2014-2015
"5.02 Tertiary education enrollment, gross %*",Angola,121,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Angola,142,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Angola,143,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Angola,140,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Angola,132,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Angola,144,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Angola,141,2014-2015
5th pillar: Higher education and training,Angola,144,2014-2015
"5.01 Secondary education enrollment, gross %*",Angola,138,2013-2014
"5.02 Tertiary education enrollment, gross %*",Angola,140,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Angola,144,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Angola,147,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Angola,148,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Angola,127,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Angola,146,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Angola,124,2013-2014
5th pillar: Higher education and training,Angola,147,2013-2014
"5.01 Secondary education enrollment, gross %*",Angola,,2012-2013
"5.02 Tertiary education enrollment, gross %*",Angola,,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Angola,,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Angola,,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Angola,,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Angola,,2012-2013
5th pillar: Higher education and training,Angola,,2012-2013
"5.01 Secondary education enrollment, gross %*",Angola,142,2011-2012
"5.02 Tertiary education enrollment, gross %*",Angola,134,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Angola,141,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Angola,142,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Angola,142,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Angola,140,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Angola,140,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Angola,89,2011-2012
5th pillar: Higher education and training,Angola,142,2011-2012
"5.01 Secondary education enrollment, gross %*",Angola,139,2010-2011
"5.02 Tertiary education enrollment, gross %*",Angola,132,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Angola,139,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Angola,139,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Angola,139,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Angola,137,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Angola,133,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Angola,39,2010-2011
5th pillar: Higher education and training,Angola,138,2010-2011
"5.01 Secondary education enrollment, gross %*",Angola,,2009-2010
"5.02 Tertiary education enrollment, gross %*",Angola,,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Angola,,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Angola,,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Angola,,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Angola,,2009-2010
5th pillar: Higher education and training,Angola,,2009-2010
"5.01 Secondary education enrollment, gross %*",Angola,,2008-2009
"5.02 Tertiary education enrollment, gross %*",Angola,,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Angola,,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Angola,,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Angola,,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Angola,,2008-2009
5th pillar: Higher education and training,Angola,,2008-2009
"5.01 Secondary education enrollment, gross %*",Angola,,2007-2008
"5.02 Tertiary education enrollment, gross %*",Angola,,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Angola,,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Angola,,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Angola,,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Angola,,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Angola,,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Angola,,2007-2008
5th pillar: Higher education and training,Angola,,2007-2008
"5.01 Secondary education enrollment, gross %*",Argentina,27,2017-2018
"5.02 Tertiary education enrollment, gross %*",Argentina,14,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Argentina,102,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Argentina,108,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Argentina,39,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Argentina,80,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Argentina,39,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Argentina,81,2017-2018
5th pillar: Higher education and training,Argentina,38,2017-2018
"5.01 Secondary education enrollment, gross %*",Argentina,29,2016-2017
"5.02 Tertiary education enrollment, gross %*",Argentina,16,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Argentina,93,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Argentina,111,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Argentina,39,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Argentina,78,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Argentina,43,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Argentina,81,2016-2017
5th pillar: Higher education and training,Argentina,40,2016-2017
"5.01 Secondary education enrollment, gross %*",Argentina,18,2015-2016
"5.02 Tertiary education enrollment, gross %*",Argentina,11,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Argentina,108,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Argentina,113,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Argentina,35,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Argentina,75,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Argentina,53,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Argentina,88,2015-2016
5th pillar: Higher education and training,Argentina,39,2015-2016
"5.01 Secondary education enrollment, gross %*",Argentina,65,2014-2015
"5.02 Tertiary education enrollment, gross %*",Argentina,15,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Argentina,113,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Argentina,112,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Argentina,34,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Argentina,76,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Argentina,65,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Argentina,95,2014-2015
5th pillar: Higher education and training,Argentina,45,2014-2015
"5.01 Secondary education enrollment, gross %*",Argentina,69,2013-2014
"5.02 Tertiary education enrollment, gross %*",Argentina,15,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Argentina,104,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Argentina,116,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Argentina,33,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Argentina,79,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Argentina,60,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Argentina,100,2013-2014
5th pillar: Higher education and training,Argentina,49,2013-2014
"5.01 Secondary education enrollment, gross %*",Argentina,73,2012-2013
"5.02 Tertiary education enrollment, gross %*",Argentina,20,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Argentina,89,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Argentina,115,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Argentina,34,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Argentina,87,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Argentina,60,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Argentina,78,2012-2013
5th pillar: Higher education and training,Argentina,53,2012-2013
"5.01 Secondary education enrollment, gross %*",Argentina,74,2011-2012
"5.02 Tertiary education enrollment, gross %*",Argentina,21,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Argentina,86,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Argentina,113,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Argentina,22,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Argentina,106,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Argentina,44,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Argentina,76,2011-2012
5th pillar: Higher education and training,Argentina,54,2011-2012
"5.01 Secondary education enrollment, gross %*",Argentina,76,2010-2011
"5.02 Tertiary education enrollment, gross %*",Argentina,19,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Argentina,90,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Argentina,106,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Argentina,16,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Argentina,111,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Argentina,42,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Argentina,79,2010-2011
5th pillar: Higher education and training,Argentina,55,2010-2011
"5.01 Secondary education enrollment, gross %*",Argentina,80,2009-2010
"5.02 Tertiary education enrollment, gross %*",Argentina,20,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Argentina,94,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Argentina,98,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Argentina,23,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Argentina,89,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Argentina,57,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Argentina,81,2009-2010
5th pillar: Higher education and training,Argentina,55,2009-2010
"5.01 Secondary education enrollment, gross %*",Argentina,75,2008-2009
"5.02 Tertiary education enrollment, gross %*",Argentina,22,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Argentina,105,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Argentina,98,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Argentina,26,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Argentina,90,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Argentina,60,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Argentina,86,2008-2009
5th pillar: Higher education and training,Argentina,56,2008-2009
"5.01 Secondary education enrollment, gross %*",Argentina,67,2007-2008
"5.02 Tertiary education enrollment, gross %*",Argentina,19,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Argentina,105,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Argentina,95,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Argentina,30,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Argentina,85,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Argentina,45,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Argentina,75,2007-2008
5th pillar: Higher education and training,Argentina,51,2007-2008
"5.01 Secondary education enrollment, gross %*",Armenia,79,2017-2018
"5.02 Tertiary education enrollment, gross %*",Armenia,65,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Armenia,57,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Armenia,33,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Armenia,106,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Armenia,65,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Armenia,82,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Armenia,96,2017-2018
5th pillar: Higher education and training,Armenia,69,2017-2018
"5.01 Secondary education enrollment, gross %*",Armenia,60,2016-2017
"5.02 Tertiary education enrollment, gross %*",Armenia,64,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Armenia,68,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Armenia,42,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Armenia,116,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Armenia,69,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Armenia,84,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Armenia,109,2016-2017
5th pillar: Higher education and training,Armenia,71,2016-2017
"5.01 Secondary education enrollment, gross %*",Armenia,49,2015-2016
"5.02 Tertiary education enrollment, gross %*",Armenia,59,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Armenia,84,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Armenia,47,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Armenia,115,2015-2016
